label,group,,,,
engine chriping -squealing belt,Belt and Accessory Issues,,,,
engine chriping -squealing belt,Belt and Accessory Issues,,,,
engine chriping -squealing belt,Belt and Accessory Issues,,,,
engine chriping -squealing belt,Belt and Accessory Issues,,,,
lifter ticking,Belt and Accessory Issues,,,,
lifter ticking,Belt and Accessory Issues,,,,
lifter ticking,Belt and Accessory Issues,,,,
lifter ticking,Belt and Accessory Issues,,,,
squeaky belt,Belt and Accessory Issues,,,,
squeaky belt,Belt and Accessory Issues,,,,
squeaky belt,Belt and Accessory Issues,,,,
squeaky belt,Belt and Accessory Issues,,,,
Braking System Issues,Braking System Issues,,,,
Braking System Issues,Braking System Issues,,,,
Braking System Issues,Braking System Issues,,,,
Braking System Issues,Braking System Issues,,,,
bad bearing,ENGINE AND POWERTRAIN ISSUES,,,,
bad bearing,ENGINE AND POWERTRAIN ISSUES,,,,
bad bearing,ENGINE AND POWERTRAIN ISSUES,,,,
bad bearing,ENGINE AND POWERTRAIN ISSUES,,,,
bad CV joint,ENGINE AND POWERTRAIN ISSUES,,,,
bad CV joint,ENGINE AND POWERTRAIN ISSUES,,,,
bad CV joint,ENGINE AND POWERTRAIN ISSUES,,,,
bad CV joint,ENGINE AND POWERTRAIN ISSUES,,,,
bad transimision,ENGINE AND POWERTRAIN ISSUES,,,,
bad transimision,ENGINE AND POWERTRAIN ISSUES,,,,
bad transimision,ENGINE AND POWERTRAIN ISSUES,,,,
bad transimision,ENGINE AND POWERTRAIN ISSUES,,,,
Bad Wheel Bearing Noise,ENGINE AND POWERTRAIN ISSUES,,,,
Bad Wheel Bearing Noise,ENGINE AND POWERTRAIN ISSUES,,,,
Bad Wheel Bearing Noise,ENGINE AND POWERTRAIN ISSUES,,,,
Bad Wheel Bearing Noise,ENGINE AND POWERTRAIN ISSUES,,,,
Bad Wheel Bearing Noise,ENGINE AND POWERTRAIN ISSUES,,,,
Bad Wheel Bearing Noise,ENGINE AND POWERTRAIN ISSUES,,,,
bad wheel bearing,ENGINE AND POWERTRAIN ISSUES,,,,
bad wheel bearing,ENGINE AND POWERTRAIN ISSUES,,,,
bad wheel bearing,ENGINE AND POWERTRAIN ISSUES,,,,
bad wheel bearing,ENGINE AND POWERTRAIN ISSUES,,,,
engine rattle noise,ENGINE AND POWERTRAIN ISSUES,,,,
engine rattle noise,ENGINE AND POWERTRAIN ISSUES,,,,
engine rattle noise,ENGINE AND POWERTRAIN ISSUES,,,,
engine rattle noise,ENGINE AND POWERTRAIN ISSUES,,,,
flooded engin,ENGINE AND POWERTRAIN ISSUES,,,,
flooded engin,ENGINE AND POWERTRAIN ISSUES,,,,
flooded engin,ENGINE AND POWERTRAIN ISSUES,,,,
flooded engin,ENGINE AND POWERTRAIN ISSUES,,,,
noisy wheel bearing,ENGINE AND POWERTRAIN ISSUES,,,,
noisy wheel bearing,ENGINE AND POWERTRAIN ISSUES,,,,
noisy wheel bearing,ENGINE AND POWERTRAIN ISSUES,,,,
noisy wheel bearing,ENGINE AND POWERTRAIN ISSUES,,,,
noisy wheel bearing,ENGINE AND POWERTRAIN ISSUES,,,,
noisy wheel bearing,ENGINE AND POWERTRAIN ISSUES,,,,
noisy wheel bearing,ENGINE AND POWERTRAIN ISSUES,,,,
pre-ignition,ENGINE AND POWERTRAIN ISSUES,,,,
pre-ignition,ENGINE AND POWERTRAIN ISSUES,,,,
pre-ignition,ENGINE AND POWERTRAIN ISSUES,,,,
pre-ignition,ENGINE AND POWERTRAIN ISSUES,,,,
Engine Misfire,ENGINE AND POWERTRAIN ISSUES,,,,problem (2)
Engine Misfire,ENGINE AND POWERTRAIN ISSUES,,,,
Engine Misfire,ENGINE AND POWERTRAIN ISSUES,,,,
Engine Misfire,ENGINE AND POWERTRAIN ISSUES,,,,
seized engin,ENGINE AND POWERTRAIN ISSUES,,,,
seized engin,ENGINE AND POWERTRAIN ISSUES,,,,
seized engin,ENGINE AND POWERTRAIN ISSUES,,,,
seized engin,ENGINE AND POWERTRAIN ISSUES,,,,
thrown rod,ENGINE AND POWERTRAIN ISSUES,,,,
thrown rod,ENGINE AND POWERTRAIN ISSUES,,,,
thrown rod,ENGINE AND POWERTRAIN ISSUES,,,,
thrown rod,ENGINE AND POWERTRAIN ISSUES,,,,
timing chain noise,ENGINE AND POWERTRAIN ISSUES,,,,
timing chain noise,ENGINE AND POWERTRAIN ISSUES,,,,
timing chain noise,ENGINE AND POWERTRAIN ISSUES,,,,
timing chain noise,ENGINE AND POWERTRAIN ISSUES,,,,
vacuum leak,ENGINE AND POWERTRAIN ISSUES,,,,
vacuum leak,ENGINE AND POWERTRAIN ISSUES,,,,
vacuum leak,ENGINE AND POWERTRAIN ISSUES,,,,
vacuum leak,ENGINE AND POWERTRAIN ISSUES,,,,
EXHAUST AND FUEL SYSTEM ISSUE,EXHAUST AND FUEL SYSTEM ISSUE,,,,
EXHAUST AND FUEL SYSTEM ISSUE,EXHAUST AND FUEL SYSTEM ISSUE,,,,
EXHAUST AND FUEL SYSTEM ISSUE,EXHAUST AND FUEL SYSTEM ISSUE,,,,
EXHAUST AND FUEL SYSTEM ISSUE,EXHAUST AND FUEL SYSTEM ISSUE,,,,
muffler running loud exhaust leak,EXHAUST AND FUEL SYSTEM ISSUE,,,,
muffler running loud exhaust leak,EXHAUST AND FUEL SYSTEM ISSUE,,,,
muffler running loud exhaust leak,EXHAUST AND FUEL SYSTEM ISSUE,,,,
muffler running loud exhaust leak,EXHAUST AND FUEL SYSTEM ISSUE,,,,
Radiator Fan Failure,EXHAUST AND FUEL SYSTEM ISSUE,,,,problem 4
Radiator Fan Failure,EXHAUST AND FUEL SYSTEM ISSUE,,,,
Radiator Fan Failure,EXHAUST AND FUEL SYSTEM ISSUE,,,,
Radiator Fan Failure,EXHAUST AND FUEL SYSTEM ISSUE,,,,problem 2
Fuel Pump Cartridge fault,EXHAUST AND FUEL SYSTEM ISSUE,,,,
Fuel Pump Cartridge fault,EXHAUST AND FUEL SYSTEM ISSUE,,,,
Fuel Pump Cartridge fault,EXHAUST AND FUEL SYSTEM ISSUE,,,,
Fuel Pump Cartridge fault,EXHAUST AND FUEL SYSTEM ISSUE,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
car normal noise,General Vehicle Sounds,,,,
Wheel Bearing Issue + Transmission Whining Noise and Issue + Catalytic Converter Issue,Miscellaneous Issues,,,,problem 6
Wheel Bearing Issue + Transmission Whining Noise and Issue + Catalytic Converter Issue,Miscellaneous Issues,,,,
Wheel Bearing Issue + Transmission Whining Noise and Issue + Catalytic Converter Issue,Miscellaneous Issues,,,,
Wheel Bearing Issue + Transmission Whining Noise and Issue + Catalytic Converter Issue,Miscellaneous Issues,,,,
Wheel Bearing Issue + Transmission Whining Noise and Issue + Catalytic Converter Issue,Miscellaneous Issues,,,,
clunking over bumps bad stabilizer link noise,SUSPENSION AND STEERING ISSUES,,,,
clunking over bumps bad stabilizer link noise,SUSPENSION AND STEERING ISSUES,,,,
clunking over bumps bad stabilizer link noise,SUSPENSION AND STEERING ISSUES,,,,
clunking over bumps bad stabilizer link noise,SUSPENSION AND STEERING ISSUES,,,,
knocking,SUSPENSION AND STEERING ISSUES,,,,
knocking,SUSPENSION AND STEERING ISSUES,,,,
knocking,SUSPENSION AND STEERING ISSUES,,,,
knocking,SUSPENSION AND STEERING ISSUES,,,,
knocking,SUSPENSION AND STEERING ISSUES,,,,
Strut Mount Failure,SUSPENSION AND STEERING ISSUES,,,,problem 3
Strut Mount Failure,SUSPENSION AND STEERING ISSUES,,,,
Strut Mount Failure,SUSPENSION AND STEERING ISSUES,,,,
Strut Mount Failure,SUSPENSION AND STEERING ISSUES,,,,
Suspension Arm fault,SUSPENSION AND STEERING ISSUES,,,,problem 1
Suspension Arm fault,SUSPENSION AND STEERING ISSUES,,,,
Suspension Arm fault,SUSPENSION AND STEERING ISSUES,,,,
Suspension Arm fault,SUSPENSION AND STEERING ISSUES,,,,
Universal Joint Failure or Steering Rack Failure,SUSPENSION AND STEERING ISSUES,,,,problem 5
Universal Joint Failure or Steering Rack Failure,SUSPENSION AND STEERING ISSUES,,,,
Universal Joint Failure or Steering Rack Failure,SUSPENSION AND STEERING ISSUES,,,,
Universal Joint Failure or Steering Rack Failure,SUSPENSION AND STEERING ISSUES,,,,
Universal Joint Failure or Steering Rack Failure,SUSPENSION AND STEERING ISSUES,,,,
Universal Joint Failure or Steering Rack Failure,SUSPENSION AND STEERING ISSUES,,,,
Universal Joint Failure or Steering Rack Failure,SUSPENSION AND STEERING ISSUES,,,,
Universal Joint Failure or Steering Rack Failure,SUSPENSION AND STEERING ISSUES,,,,
Universal Joint Failure or Steering Rack Failure,SUSPENSION AND STEERING ISSUES,,,,
Universal Joint Failure or Steering Rack Failure,SUSPENSION AND STEERING ISSUES,,,,
stearing groaning whining low power steering fluid,SUSPENSION AND STEERING ISSUES,,,,
stearing groaning whining low power steering fluid,SUSPENSION AND STEERING ISSUES,,,,
stearing groaning whining low power steering fluid,SUSPENSION AND STEERING ISSUES,,,,
stearing groaning whining low power steering fluid,SUSPENSION AND STEERING ISSUES,,,,
stearing noise,SUSPENSION AND STEERING ISSUES,,,,
stearing noise,SUSPENSION AND STEERING ISSUES,,,,
stearing noise,SUSPENSION AND STEERING ISSUES,,,,
stearing noise,SUSPENSION AND STEERING ISSUES,,,,
turning front end clicking bad CV axle,SUSPENSION AND STEERING ISSUES,,,,
turning front end clicking bad CV axle,SUSPENSION AND STEERING ISSUES,,,,
turning front end clicking bad CV axle,SUSPENSION AND STEERING ISSUES,,,,
turning front end clicking bad CV axle,SUSPENSION AND STEERING ISSUES,,,,
